"CODE","PA","FOU","DATE"
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD"
"816109","100.47","100060","20190101"
"816110","121.05","100060","20190101"
"816111","148.23","100060","20190101"
"816112","193.52","100060","20190101"
"816286","14.6","100060","20190101"
"816287","15.69","100060","20190101"
"816288","18.46","100060","20190101"
"816784","5.33","100060","20190101"
"817118","6.91","100060","20190101"
"817119","10.87","100060","20190101"
"817120","16.89","100060","20190101"
"817285","32.94","100060","20190101"
"817498","6.18","100060","20190101"
"817629","13.44","100060","20190101"
"817630","7.1","100060","20190101"
"817631","7.53","100060","20190101"
"817632","8.38","100060","20190101"
"817633","9.08","100060","20190101"
"817968","6.3","100060","20190101"
"817969","17.7","100060","20190101"
"817970","25.04","100060","20190101"
"817971","4.05","100060","20190101"
"817972","100.6","100060","20190101"
"817973","141.92","100060","20190101"
"817974","15.67","100060","20190101"
"817975","39.46","100060","20190101"
"817976","8.08","100060","20190101"
"817977","7.1","100060","20190101"
"817978","14.17","100060","20190101"
"817979","2.74","100060","20190101"
"817980","2.74","100060","20190101"
"817981","5.31","100060","20190101"
"817982","2.92","100060","20190101"
"818333","3.14","100060","20190101"
"818334","3.24","100060","20190101"
"818927","27.18","100060","20190101"
"819687","16.87","100060","20190101"
"819689","15.19","100060","20190101"
"819690","3.49","100060","20190101"
"819691","8.94","100060","20190101"
"819692","15.19","100060","20190101"
"819695","11.63","100060","20190101"
"819696","1.93","100060","20190101"
"819697","4.12","100060","20190101"
"819699","4.12","100060","20190101"
"819700","7.89","100060","20190101"
"819701","12.47","100060","20190101"
"819702","18.59","100060","20190101"
"819703","4.93","100060","20190101"
"819704","7.18","100060","20190101"
"819705","11.18","100060","20190101"
"819706","2.15","100060","20190101"
"819707","6.91","100060","20190101"
"819708","3.1","100060","20190101"
"819709","8.71","100060","20190101"
"819710","5.33","100060","20190101"
"819711","13.6","100060","20190101"
"819712","23.12","100060","20190101"
"819713","16.6","100060","20190101"
"819714","28.22","100060","20190101"
"819720","18.59","100060","20190101"
"821450","8","100060","20190101"
"821451","6.5","100060","20190101"
"821457","10.9","100060","20190101"
"821458","7.53","100060","20190101"
"821459","10.9","100060","20190101"
"821460","7.53","100060","20190101"
"822698","12.35","100060","20190101"
"822701","12.35","100060","20190101"
"822703","10.29","100060","20190101"
"822713","4.66","100060","20190101"
"822714","5.64","100060","20190101"
"823030","2.86","100060","20190101"
"825108","70.4","100060","20190101"
"825109","95.6","100060","20190101"
"825110","50.9","100060","20190101"
"825112","7.3","100060","20190101"
"825113","90.85","100060","20190101"
"825114","33.7","100060","20190101"
"825115","83.6","100060","20190101"
"825776","69.4","100060","20190101"
"828675","44.22","100060","20190101"
"828676","58.72","100060","20190101"
"828678","5.93","100060","20190101"
"829330","42.82","100060","20190101"
"829331","55.17","100060","20190101"
"829332","93.06","100060","20190101"
"829333","28","100060","20190101"
"829334","38.29","100060","20190101"
"829335","46.94","100060","20190101"
"829336","13.18","100060","20190101"
"829337","15.23","100060","20190101"
"829338","17.29","100060","20190101"
"829339","53.53","100060","20190101"
"829340","70.82","100060","20190101"
"829341","24.95","100060","20190101"
"829342","29.23","100060","20190101"
"829343","34.01","100060","20190101"
"829344","63.82","100060","20190101"
"829345","81.11","100060","20190101"
"829346","93.88","100060","20190101"
"829347","3.49","100060","20190101"
"829348","4.19","100060","20190101"
"829349","1.65","100060","20190101"
"829351","5.27","100060","20190101"
"829352","1.94","100060","20190101"
"829353","5.85","100060","20190101"
"829356","10.46","100060","20190101"
"829357","12.02","100060","20190101"
"829358","12.02","100060","20190101"
"829359","14.53","100060","20190101"
"829360","14.49","100060","20190101"
"829364","4.67","100060","20190101"
"829365","3.13","100060","20190101"
"829985","98.82","100060","20190101"
"829987","10.38","100060","20190101"
"829988","18.53","100060","20190101"
"829989","41.18","100060","20190101"
"829990","57.65","100060","20190101"
"829991","68.35","100060","20190101"
"829992","79.88","100060","20190101"
"829993","86.47","100060","20190101"
"829994","93.06","100060","20190101"
"829995","93.06","100060","20190101"
"829996","86.47","100060","20190101"
"829997","93.06","100060","20190101"
"829998","100.47","100060","20190101"
"829999","100.47","100060","20190101"
"830000","93.06","100060","20190101"
"830001","100.47","100060","20190101"
"830002","111.17","100060","20190101"
"830003","111.17","100060","20190101"
"830004","100.47","100060","20190101"
"830005","111.17","100060","20190101"
"830006","121.05","100060","20190101"
"830007","121.05","100060","20190101"
"830008","121.05","100060","20190101"
"830009","127.64","100060","20190101"
"830010","132.58","100060","20190101"
"830011","132.58","100060","20190101"
"830012","127.64","100060","20190101"
"830013","132.58","100060","20190101"
"830014","140","100060","20190101"
"830015","140","100060","20190101"
"830016","140","100060","20190101"
"830017","145.76","100060","20190101"
"830018","156.47","100060","20190101"
"830019","156.47","100060","20190101"
"830020","149.05","100060","20190101"
"830021","156.47","100060","20190101"
"830022","165.52","100060","20190101"
"830023","165.52","100060","20190101"
"830155","3.46","100060","20190101"
"830156","5.19","100060","20190101"
"830157","3.46","100060","20190101"
"830158","3.46","100060","20190101"
"830160","2.72","100060","20190101"
"830161","3.46","100060","20190101"
"830166","3.46","100060","20190101"
"830724","3.9","100060","20190101"
"830725","25.4","100060","20190101"
"830726","54.59","100060","20190101"
"830727","24.09","100060","20190101"
"830728","2.97","100060","20190101"
"830729","1.84","100060","20190101"
"830730","1.21","100060","20190101"
"830731","1.36","100060","20190101"
"830732","2.28","100060","20190101"
"830733","1.66","100060","20190101"
"830734","4.75","100060","20190101"
"830735","2.27","100060","20190101"
"830736","3.07","100060","20190101"
"833804","7.33","100060","20190101"
"834440","1.9","100060","20190101"
"836346","4.75","100060","20190101"
"836347","5.75","100060","20190101"
