"Code","EAN","Four.Source","Description","Fournisseur","Rayon/Sous-rayon","Famille","Marque","P.A SOURCES €","PC ","PV","MARGE","NOUVEAU PA HT  ","ECART","COUTS LOG 2020","PC MAG","PV €","Marge","Stock","Statut","Gamme","Classement","CSS","Référence produit","En cours Cde","En cours Réc.","ventes 28J","vts 28j-1A","Besoin brt","PCB","Liste des EAN(s)","Nom Four.Source","PA Four.Source","Nature","Statut référencement","Date de mise sur le marché","Date de fin","TVA","DEEE HT","Taxes2"
"826154","3700602099088","100211","ANIMALIS NID OISEAU 10G","PF1 - LOGISTIQUE MEUNG","3       /  15","86 - Nidification / elevage","ANIMALIS NAT","0.91","1.23","2.95","0.49966101694915","0.91","0","0.35106998440159","1.2294736858054","2.9487377017285","0.49966101694915","1183","VC","A","AA","438","26032","520","0","426","101","287","40"," , ,3700602099088,","GASCO MOREAU","0.91","PERM","03","22/09/2017","","TxStd 20.%","0.00",""
"845399","3700543085041","100068","LOTION HABITA CHIEN CHAT 500ML","PF1 - LOGISTIQUE MEUNG","5       /  21","114 - Produits antiparasit. chien","BIOVETOL","10.752","11.72","25.95","0.45803468208092","11.927","0.10928199404762","0.09","13.00043","28.95","0.46112207253886","306","VC","B","CC","54","30122","4","2","12","0","5","1",",,,","GASCO","10.752","PERM","03","","","TxStd 20.%","0.00",""
"845414","3700543085911","100068","TROUSSE DE VOYAGE GARNIE 4X50M","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","8.28","9.44","19.9","0.43075376884422","8.275","-0.0006038647342994","0.14","9.4335","19.95","0.43257142857143","591","VC","B"," ","48","30140","1","0","0","0","1","1",",,,","GASCO","8.28","PERM","03","","","TxStd 20.%","0.00",""
"845398","3700543085430","100068","LOTION HABITA CHIEN CHAT 240ML","PF1 - LOGISTIQUE MEUNG","6       /  27","135 - Produits antiparasitaires chat","BIOVETOL","5.958","6.49","14.5","0.46289655172414","6.622","0.11144679422625","0.09","7.21798","14.95","0.42063036789298","466","VC","B","C","54","30121","0","2","10","0","4","1",",,,","GASCO","5.958","PERM","03","","","TxStd 20.%","0.00",""
"810116","3450552409153","100068","MELANGE PIGEON 4 SAISONS 5KG","PF1 - LOGISTIQUE MEUNG","3       /  14","71 - Alimentation coussins oiseaux","GASCO","2.746","3.47","9.5","0.56168421052632","2.776","0.010924981791697","0.26370989448793","3.5080586670985","9.5","0.55687679994545","201","VC","A","AA","171","10108-10","135","0","126","54","62","5"," , , ,3450552409153","GASCO","2.746","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810117","3450556002060","100068","MELANGE PIGEON 4 SAISONS 20KG","PF1 - LOGISTIQUE MEUNG","3       /  14","72 - Alimentation gros conditionnem","GASCO","8.472","11.9","19.95","0.28421052631579","8.589","0.013810198300283","0.40495103315377","12.067124423758","19.95","0.27415792939803","237","VC","A","AA","209","10108-30","18","0","150","55","80","1"," ,3450556002060,","GASCO","8.472","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810126","3450550300407","100068","GS COT&CO LAPIN GR 10KG","PF1 - LOGISTIQUE MEUNG","2       /  11","53 - Aliments rongeurs","GASCO","4.476","5.46","12.95","0.49405405405405","4.643","0.037310098302055","0.22","5.66446","13.5","0.49649244444444","101","VC","B","BB","284","70052","5","0","34","4","15","5"," , , ,3450550300407","GASCO","4.476","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810127","3450550300506","100068","GS COT&CO LAPIN GR 25KG","PF1 - LOGISTIQUE MEUNG","2       /  11","53 - Aliments rongeurs","GASCO","10.213","12.46","21.95","0.31881548974943","10.65","0.042788602761187","0.22","12.993","22.95","0.32062745098039","80","VC","C","B","150","70053","2","0","36","16","17","2"," , , ,3450550300506","GASCO","10.213","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810131","3450550300902","100068","GS COT&CO POULET GR 25KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","10.95","15.22","22.95","0.20418300653595","11.341","0.035707762557078","0.39","15.76399","23.95","0.21015498956159","96","VC","B","A","123","70057","10","2","44","23","21","2"," , , ,3450550300902","GASCO","10.95","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810134","3450553406458","100068","GS EXOTIQUES 5KG","PF1 - LOGISTIQUE MEUNG","3       /  14","71 - Alimentation coussins oiseaux","GASCO","4.92","6.22","9.5","0.21431578947368","5.132","0.043089430894309","0.26370989448793","6.4853591785121","10.95","0.28927570646443","338","VC","A","A","204","70064","144","12","224","80","116","4"," , , ,3450553406458","GASCO","4.92","PERM","03","20/08/2014","","TxStd 20.%","0.00",""
