"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"","3116457607215","76072.1","3373","","CORB OVALE XS BLEU FOLLOW ME  ","CORB OVALE XS BLEU FOLLOW ME  ","","CORB OVALE XS BLEU FOLLOW ME  ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.33","K","0.33","","","0.05","13.65","U","","1","1","01/08/2020","29.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457607314","76073.1","3373","","CORB OVALE S BLEU FOLLOW ME ","CORB OVALE S BLEU FOLLOW ME ","","CORB OVALE S BLEU FOLLOW ME ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.269","K","0.269","","","0.05","14.63","U","","1","1","01/08/2020","32.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608021","76080.2","3373","","ARTEMIS NOIR T52 CORB OVAL ","ARTEMIS NOIR T52 CORB OVAL ","","ARTEMIS NOIR T52 CORB OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.83","K","0.83","","","0.05","23.8","U","","1","1","01/08/2020","52.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608113","76081.1","3373","","ARTEMIS BLEU T73 CORB OVAL ","ARTEMIS BLEU T73 CORB OVAL ","","ARTEMIS BLEU T73 CORB OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.29","K","1.29","","","0.05","32.9","U","","1","1","01/08/2020","69.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608120","76081.2","3373","","ARTEMIS NOIR T73 CORB OVAL ","ARTEMIS NOIR T73 CORB OVAL ","","ARTEMIS NOIR T73 CORB OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.29","K","1.29","","","0.05","32.9","U","","1","1","01/08/2020","69.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608212","76082.1","3373","","ARTEMIS BLEU T100 CORB OVAL ","ARTEMIS BLEU T100 CORB OVAL ","","ARTEMIS BLEU T100 CORB OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.33","K","1.33","","","0.05","41.3","U","","1","1","01/08/2020","84.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608328","76083.2","3373","","ARTEMIS NOIR T55 COUSSIN OVAL ","ARTEMIS NOIR T55 COUSSIN OVAL ","","ARTEMIS NOIR T55 COUSSIN OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.379","K","0.379","","","0.05","11.2","U","","1","1","01/08/2020","24.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608410","76084.1","3373","","ARTEMIS BLEU T65 COUSSIN OVAL ","ARTEMIS BLEU T65 COUSSIN OVAL ","","ARTEMIS BLEU T65 COUSSIN OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.516","K","0.516","","","0.05","13.3","U","","1","1","01/08/2020","29.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608526","76085.2","3373","","ARTEMIS NOIR T75 COUSSIN OVAL ","ARTEMIS NOIR T75 COUSSIN OVAL ","","ARTEMIS NOIR T75 COUSSIN OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.51","K","0.51","","","0.05","14.7","U","","1","1","01/08/2020","32.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608618","76086.1","3373","","ARTEMIS BLEU T89 COUSSIN OVAL ","ARTEMIS BLEU T89 COUSSIN OVAL ","","ARTEMIS BLEU T89 COUSSIN OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.703","K","0.703","","","0.05","17.5","U","","1","1","01/08/2020","38.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
