"N° de colonne","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
"Colonne","EAN13","REFPRO","SIGFOU","MOTCLE","NOMPRO","DESIGN1","DESIGN2","DESIGN_LONG","CODTVA","RAYON","SOUSRAYON","FAMILLE","GAMME","STATUT","CODBLOCAGE","NATURE","MARQUE","MDD","POIDSNET","UNICOL","POIDS","POIDS_INFO","VOLUME_INFO","D3E","PA","UNITE_ACHAT","NBUVC_ACHAT","QTEMIN","QOTITE","DATDEB_PA","PV","DATDEB_PV","PF_SIGTIE","PCESSION","UNITE_CESSION","NBUVC_CESSION","QTEMIN_CESSION","PV_PROMO","DATDEB_PV_PROMO","DATFIN_PV_PROMO","CIBLE_PROMO","MAGASIN_CREATION","CSS_PM","CSS_MM","CSS_GM","TYPOLOGIE","WEB","DATMAR","DATFINMAR","DLUO","SEGMENT_PRODUIT","DISPLAY","ACTION","CODPRO"
"Longueur / Type","13 Caractères","16 Caractères","12 Caractères","16 Caractères","30 Caractères","40 Caractères","40 Caractères","1000 Caractères","1 Caractère","6 Caractères","6 Caractères","6 Caractères","6 Caractères","6 Caractères","3 Caractères","6 Caractères","12 Caractères/ MAJUSCULES SS ACCENT","6 Caractères","Nombre","1 Caractère","Nombre","40 Caractères","40 Caractères","Nombre","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy format Text","Nombre","Date dd/mm/yyyy format Text","12 Caractères","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy en Text","Date dd/mm/yyyy format Text","12 Caractères","3 Caractères","Nombre","Nombre","Nombre","3 Caractères","1 Caractères","Date dd/mm/yyyy format Text","Date dd/mm/yyyy format Text","1 Caractères","12 Caractères","6 Caractères","12 Caractères","16 Caractères"
"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"Obligatoire","O","O","O","O","O","O","N","N","O","O","O","O","O","O","O","O","O","O","O","O","N","N","N","N","O","O","N","O","N","O","O","O","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","O",""
"","5414365367503","12807","12301","","PANIER LAGUNA + COUSSIN M","PANIER LAGUNA + COUSSIN M","","PANIER LAGUNA + COUSSIN M - 56X36X21CM","6","5","20","111","C","03","VC","PERM","Duvo+","N","2.077","K ","2.08","","","","15.99","U","","1","1","21/07/2020","33.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","5414365367480","12808","12301","","PANIER LAGUNA + COUSSIN L","PANIER LAGUNA + COUSSIN L","","PANIER LAGUNA + COUSSIN L - 65X43X21CM","6","5","20","111","C","03","VC","PERM","Duvo+","N","2.607","K ","2.61","","","","18.99","U","","1","1","21/07/2020","39.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","4047059458860","305/458860","12301","","JOUET CORDE KURT CÔNE S NOIR","JOUET CORDE KURT CÔNE S NOIR","","JOUET CORDE KURT CÔNE TRESSÉ S - 36CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.1","K ","0.11","","","","3.0083","U","","1","1","21/07/2020","7.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458877","305/458877","12301","","JOUET CORDE SKIP BALL XS NOIR","JOUET CORDE SKIP BALL XS NOIR","","JOUET CORDE SKIP BALL XS - 6CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.075","K ","0.08","","","","1.4673","U","","1","1","21/07/2020","3.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458884","305/458884","12301","","JOUET CORDE HARPER BALL XS NOIR","JOUET CORDE HARPER BALL XS NOIR","","JOUET CORDE HARPER BALL AVEC BOUCLE XS - 18,5CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.085","K ","0.09","","","","1.4673","U","","1","1","21/07/2020","3.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458891","305/458891","12301","","JOUET CORDE BEN XS NOIR","JOUET CORDE BEN XS NOIR","","JOUET CORDE BEN ANNEAU TRESSÉ XS - 13CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.18","K ","0.2","","","","2.2043","U","","1","1","21/07/2020","5.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458907","305/458907","12301","","JOUET CORDE KURT XS NOIR","JOUET CORDE KURT XS NOIR","","JOUET CORDE KURT CÔNE TRESSÉ XS - 22CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.092","K ","0.1","","","","2.2043","U","","1","1","21/07/2020","5.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458914","305/458914","12301","","JOUET CORDE SKIP BALL S NOIR","JOUET CORDE SKIP BALL S NOIR","","JOUET CORDE SKIP BALL S - 9,5CMX12MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.225","K ","0.23","","","","3.8793","U","","1","1","21/07/2020","10.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458921","305/458921","12301","","JOUET CORDE SKIP BALL L NOIR","JOUET CORDE SKIP BALL L NOIR","","JOUET CORDE SKIP BALL L - 15CMX18MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.7","K ","0.72","","","","5.5543","U","","1","1","21/07/2020","14.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458938","305/458938","12301","","JOUET CORDE HARPER S NOIR","JOUET CORDE HARPER S NOIR","","JOUET CORDE HARPER BALL AVEC BOUCLE S - 22CMX12MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.18","K ","0.19","","","","3.8793","U","","1","1","21/07/2020","10.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458945","305/458945","12301","","JOUET CORDE HARPER L NOIR","JOUET CORDE HARPER L NOIR","","JOUET CORDE HARPER BALL AVEC BOUCLE L - 27CMX15MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.35","K ","0.37","","","","5.5543","U","","1","1","21/07/2020","14.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059458952","305/458952","12301","","JOUET CORDE BEN S NOIR","JOUET CORDE BEN S NOIR","","JOUET CORDE BEN ANNEAU TRESSÉ S - 19CMX10MM NOIR","6","5","22","118","B","03","VC","COLLEC","D&D","N","0.29","K ","0.31","","","","3.3433","U","","1","1","21/07/2020","8.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449356","309/449356","12301","","JOUET À MORDRE LOLA ROSE","JOUET À MORDRE LOLA ROSE","","PETIT JOUET À MORDRE LOLA 10X10CM ROSE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.045","K ","0.14","","","","3.598","U","","1","1","21/07/2020","9.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449363","309/449363","12301","","JOUET À MORDRE LOLA BLEU","JOUET À MORDRE LOLA BLEU","","PETIT JOUET À MORDRE LOLA 10X10CM BLEU","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.045","K ","0.14","","","","3.598","U","","1","1","21/07/2020","9.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449370","309/449370","12301","","JOUET À MORDRE LOLA JAUNE","JOUET À MORDRE LOLA JAUNE","","PETIT JOUET À MORDRE LOLA 10X10CM JAUNE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.045","K ","0.14","","","","3.598","U","","1","1","21/07/2020","9.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449387","309/449387","12301","","JOUET SNACK CHICO ROSE","JOUET SNACK CHICO ROSE","","PETIT JOUET SNACK CHICO 12X6X6CM ROSE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.06","K ","0.17","","","","3.99","U","","1","1","21/07/2020","10.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449394","309/449394","12301","","JOUET SNACK CHICO BLEU","JOUET SNACK CHICO BLEU","","PETIT JOUET SNACK CHICO 12X6X6CM BLEU","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.06","K ","0.17","","","","3.99","U","","1","1","21/07/2020","10.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449400","309/449400","12301","","JOUET SNACK CHICO JAUNE","JOUET SNACK CHICO JAUNE","","PETIT JOUET SNACK CHICO 12X6X6CM JAUNE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.06","K ","0.17","","","","3.99","U","","1","1","21/07/2020","10.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449417","309/449417","12301","","JOUET AQUATIQUE COCO ROSE","JOUET AQUATIQUE COCO ROSE","","PETIT JOUET AQUATIQUE COCO 12X6X6CM ROSE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.065","K ","0.18","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449424","309/449424","12301","","JOUET AQUATIQUE COCO BLEU","JOUET AQUATIQUE COCO BLEU","","PETIT JOUET AQUATIQUE COCO 12X6X6CM BLEU","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.065","K ","0.18","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449431","309/449431","12301","","JOUET AQUATIQUE COCO JAUNE","JOUET AQUATIQUE COCO JAUNE","","PETIT JOUET AQUATIQUE COCO 12X6X6CM JAUNE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.065","K ","0.18","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449448","309/449448","12301","","JOUET REMUANT BALU ROSE","JOUET REMUANT BALU ROSE","","PETIT JOUET REMUANT BALU 8X6X6CM ROSE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.105","K ","0.22","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449455","309/449455","12301","","JOUET REMUANT BALU BLEU","JOUET REMUANT BALU BLEU","","PETIT JOUET REMUANT BALU 8X6X6CM BLEU","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.105","K ","0.22","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449462","309/449462","12301","","JOUET REMUANT BALU JAUNE","JOUET REMUANT BALU JAUNE","","PETIT JOUET REMUANT BALU 8X6X6CM JAUNE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.105","K ","0.22","","","","4.319","U","","1","1","21/07/2020","11.5","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","4047059449479","309/449479","12301","","JOUET À MÂCHER MILO ROSE","JOUET À MÂCHER MILO ROSE","","PETIT JOUET À MÂCHER MILO 18X7X7CM ROSE","6","5","22","118","B","03","VC","COLLEC","Ebi","N","0.065","K ","0.26","","","","5.99","U","","1","1","21/07/2020","15.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
